frequency	Y_real	Y_imag
8	4.5697064209502163e-07	3.2629337660192253e-07
25	7.173254849118672e-07	5.650239109841512e-07
42	8.884981830291291e-07	7.143520348610136e-07
59	1.0233824188479138e-06	8.301291655001629e-07
76	1.1477033561588637e-06	9.351948203027409e-07
93	1.237818658682499e-06	1.015455736146484e-06
127	1.4152607968349353e-06	1.1813987868804205e-06
161	1.5496770168021877e-06	1.3095948829265933e-06
246	1.8492176018747532e-06	1.5858535906307119e-06
314	2.0322859284466415e-06	1.7899865437809968e-06
399	2.2513078819127335e-06	2.0195375310028746e-06
501	2.4424802391380464e-06	2.2501135049863204e-06
637	2.6683819028211188e-06	2.5588091301180152e-06
788	2.879304223003018e-06	2.8893258577905953e-06
993	3.136305042925232e-06	3.329938158935339e-06
1252	3.444146042930466e-06	3.827106221356884e-06
1585	3.7789485003657434e-06	4.450623544174401e-06
1995	4.136913725168189e-06	5.1874578659152714e-06
2512	4.571596618542032e-06	6.08021185663094e-06
3162	5.063388384239908e-06	7.1637931379509824e-06
3981	5.645339588597214e-06	8.451327274026052e-06
5012	6.3759957709201845e-06	1.0014155441557445e-05
6310	7.262844686606871e-06	1.1867067622187475e-05
7943	8.392458640907246e-06	1.4081100381709194e-05
10000	9.820150207803107e-06	1.6671786328704956e-05
12589	1.1651900274395184e-05	1.972611211063819e-05
15849	1.3989540304119716e-05	2.321252089986452e-05
19953	1.7003373392522793e-05	2.714012038411135e-05
25119	2.087840241549866e-05	3.149163305298916e-05
31623	2.5812279381383082e-05	3.605572914783287e-05
39811	3.1998739150342055e-05	4.053266946928959e-05
50119	3.9317883912714056e-05	4.4474788783852716e-05
63096	4.724521704771966e-05	4.755727317003193e-05
79433	5.564760085438934e-05	4.9813015754800004e-05
100000	6.446944481095662e-05	5.19713335463644e-05
